modelo,tipo_modelo,metodo_busqueda,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,params
Decision Tree Classifier,classification,GridSearchCV,0.5575615819732279,0.013004222448945212,13,0.5752711171432935,0.011979557147719443,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 5, 'modelo__min_samples_leaf': 5, 'modelo__min_samples_split': 10}"
Decision Tree Classifier,classification,GridSearchCV,0.5575615819732279,0.013004222448945212,13,0.5751834930284687,0.012087411259659692,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 5, 'modelo__min_samples_leaf': 5, 'modelo__min_samples_split': 25}"
Decision Tree Classifier,classification,GridSearchCV,0.540430519794676,0.012606403291185482,19,0.599946011519488,0.012863847169041076,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 7, 'modelo__min_samples_leaf': 5, 'modelo__min_samples_split': 2}"
Decision Tree Classifier,classification,GridSearchCV,0.540430519794676,0.012606403291185482,19,0.599946011519488,0.012863847169041076,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 7, 'modelo__min_samples_leaf': 5, 'modelo__min_samples_split': 10}"
Decision Tree Classifier,classification,GridSearchCV,0.5400850441966842,0.008444814144224579,21,0.60067398630239,0.012027024831408053,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 7, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 10}"
Decision Tree Classifier,classification,GridSearchCV,0.5400850441966842,0.008444814144224579,21,0.60067398630239,0.012027024831408053,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 7, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 2}"
Decision Tree Classifier,classification,GridSearchCV,0.5397910805309775,0.011954863394665685,23,0.6003435954815666,0.012610196315348298,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 7, 'modelo__min_samples_leaf': 1, 'modelo__min_samples_split': 2}"
Decision Tree Classifier,classification,GridSearchCV,0.5395872136192286,0.011027997755940924,24,0.5987990431312579,0.012768735965048206,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 7, 'modelo__min_samples_leaf': 5, 'modelo__min_samples_split': 25}"
Decision Tree Classifier,classification,GridSearchCV,0.5394484732585586,0.010769734644769002,25,0.5988785663011728,0.012687062504718074,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 7, 'modelo__min_samples_leaf': 1, 'modelo__min_samples_split': 25}"
Decision Tree Classifier,classification,GridSearchCV,0.5394135538942134,0.011877739746374034,26,0.600078075312522,0.01268062055433632,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 7, 'modelo__min_samples_leaf': 1, 'modelo__min_samples_split': 10}"
Decision Tree Classifier,classification,GridSearchCV,0.5393310333294563,0.007318543372242217,27,0.6000074107954364,0.011880520686570962,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 7, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 25}"
Decision Tree Classifier,classification,GridSearchCV,0.5358101883152129,0.008274102444871975,28,0.5400867536081394,0.00523797150382168,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 3, 'modelo__min_samples_leaf': 5, 'modelo__min_samples_split': 25}"
Decision Tree Classifier,classification,GridSearchCV,0.5358101883152129,0.008274102444871975,28,0.5400867536081394,0.00523797150382168,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 3, 'modelo__min_samples_leaf': 5, 'modelo__min_samples_split': 10}"
Decision Tree Classifier,classification,GridSearchCV,0.5358101883152129,0.008274102444871975,28,0.5400867536081394,0.00523797150382168,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 3, 'modelo__min_samples_leaf': 5, 'modelo__min_samples_split': 2}"
Decision Tree Classifier,classification,GridSearchCV,0.5358101883152129,0.008274102444871975,28,0.5400867536081394,0.00523797150382168,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 3, 'modelo__min_samples_leaf': 1, 'modelo__min_samples_split': 25}"
Decision Tree Classifier,classification,GridSearchCV,0.5358101883152129,0.008274102444871975,28,0.5400867536081394,0.00523797150382168,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 3, 'modelo__min_samples_leaf': 1, 'modelo__min_samples_split': 10}"
Decision Tree Classifier,classification,GridSearchCV,0.5358101883152129,0.008274102444871975,28,0.5400867536081394,0.00523797150382168,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 3, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 25}"
Decision Tree Classifier,classification,GridSearchCV,0.5358101883152129,0.008274102444871975,28,0.5400867536081394,0.00523797150382168,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 3, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 10}"
Decision Tree Classifier,classification,GridSearchCV,0.5358101883152129,0.008274102444871975,28,0.5400867536081394,0.00523797150382168,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 3, 'modelo__min_samples_leaf': 5, 'modelo__min_samples_split': 10}"
Decision Tree Classifier,classification,GridSearchCV,0.5358101883152129,0.008274102444871975,28,0.5400867536081394,0.00523797150382168,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 3, 'modelo__min_samples_leaf': 5, 'modelo__min_samples_split': 25}"
Decision Tree Classifier,classification,GridSearchCV,0.5358101883152129,0.008274102444871975,28,0.5400867536081394,0.00523797150382168,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 3, 'modelo__min_samples_leaf': 5, 'modelo__min_samples_split': 2}"
Decision Tree Classifier,classification,GridSearchCV,0.5358101883152129,0.008274102444871975,28,0.5400867536081394,0.00523797150382168,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 3, 'modelo__min_samples_leaf': 1, 'modelo__min_samples_split': 25}"
Decision Tree Classifier,classification,GridSearchCV,0.5358101883152129,0.008274102444871975,28,0.5400867536081394,0.00523797150382168,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 3, 'modelo__min_samples_leaf': 1, 'modelo__min_samples_split': 10}"
Decision Tree Classifier,classification,GridSearchCV,0.5358101883152129,0.008274102444871975,28,0.5400867536081394,0.00523797150382168,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 3, 'modelo__min_samples_leaf': 1, 'modelo__min_samples_split': 2}"
Decision Tree Classifier,classification,GridSearchCV,0.5358101883152129,0.008274102444871975,28,0.5400867536081394,0.00523797150382168,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 3, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 2}"
Decision Tree Classifier,classification,GridSearchCV,0.5358101883152129,0.008274102444871975,28,0.5400867536081394,0.00523797150382168,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 3, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 2}"
Decision Tree Classifier,classification,GridSearchCV,0.5358101883152129,0.008274102444871975,28,0.5400867536081394,0.00523797150382168,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 3, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 10}"
Decision Tree Classifier,classification,GridSearchCV,0.5358101883152129,0.008274102444871975,28,0.5400867536081394,0.00523797150382168,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 3, 'modelo__min_samples_leaf': 1, 'modelo__min_samples_split': 2}"
Decision Tree Classifier,classification,GridSearchCV,0.5358101883152129,0.008274102444871975,28,0.5400867536081394,0.00523797150382168,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 3, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 25}"
Decision Tree Classifier,classification,GridSearchCV,0.53120697446674,0.012897212898691066,46,0.6034167773212455,0.0123535896395223,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 7, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 10}"
Decision Tree Classifier,classification,GridSearchCV,0.53120697446674,0.012897212898691066,46,0.6034167773212455,0.0123535896395223,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 7, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 2}"
