modelo,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,roc_auc_mean,roc_auc_std
Logistic Regression,0.648,0.004124999999999997,0.5909496651504722,0.009617471677153891,0.36688594776716743,0.00592848290926958,0.4526622429114697,0.005687055303984044,0.6716923928658763,0.0052755660704806
Decision Tree Classifier,0.5574999999999999,0.006581816808450369,0.44348179091822804,0.008056320263328351,0.45210960332086153,0.007689185587597127,0.44774064973805955,0.007482781433922419,0.539462094185177,0.00653721578833276
SVM,0.6435,0.004966292631329717,0.597873904202222,0.013494536926460885,0.31049173817811776,0.00395377279209172,0.40868228494036296,0.0055271102553360535,0.6445767274637833,0.006761878840696773
