modelo,accuracy_base,precision_base,recall_base,f1_score_base,roc_auc_base,accuracy_optimizado,precision_optimizado,recall_optimizado,f1_score_optimizado,roc_auc_optimizado,delta_accuracy,delta_precision,delta_recall,delta_f1_score,delta_roc_auc
Logistic Regression,0.655,0.6042296072507553,0.3780718336483932,0.4651162790697674,0.6882202603989992,0.63825,0.5370762711864406,0.6389413988657845,0.5835971223021582,0.6883262813718278,-0.016750000000000043,-0.06715333606431462,0.2608695652173913,0.11848084323239083,0.00010602097282863543
Decision Tree Classifier,0.55875,0.4472123368920522,0.4751102709514808,0.4607393828292087,0.5444345387082311,0.63,0.5271160669031931,0.6553245116572148,0.5842696629213483,0.6737306404006235,0.07125000000000004,0.07990373001114093,0.18021424070573405,0.12353028009213962,0.12929610169239236
