tarea,modelo,version,rol_final,criterio,accuracy,precision,recall,f1_score,roc_auc,justificacion,mae,rmse,r2
clasificación,Logistic Regression,optimizado,recomendado principal,equilibrio general e interpretabilidad,0.63825,0.5370762711864406,0.6389413988657845,0.5835971223021582,0.6883262813718278,"Mantiene mayor precision, accuracy y ROC-AUC frente al árbol optimizado; además es más simple e interpretable.",,,
clasificación,Decision Tree Classifier,optimizado,alternativa por recall,mayor detección de abandono,0.63,0.5271160669031931,0.6553245116572148,0.5842696629213483,0.6737306404006235,Obtiene mayor recall y f1_score levemente superior; útil si se prioriza detectar más clientes que abandonan.,,,
clasificación,SVM,base,referencia no priorizada,comparación base,0.6445,0.6022304832713755,0.3062381852551984,0.406015037593985,0.6569558245076097,"Presenta ROC-AUC intermedio, pero bajo recall. No fue priorizado para optimización por costo computacional.",,,
regresión,Linear Regression,base,referencia principal de regresión,menor error y mayor R² relativo,,,,,,"Se mantiene levemente mejor que el árbol optimizado en MAE, RMSE y R².",0.8164135311789708,1.00638085460283,-0.0019630717464333
regresión,Decision Tree Regressor,optimizado,complementario,mejora técnica frente al árbol base,,,,,,"Mejora mucho frente al árbol base, pero no supera a Linear Regression.",0.817810134030351,1.007213310352984,-0.0036213602303036
