modelo,tipo_modelo,metodo_busqueda,scoring,best_score_cv,best_params
Logistic Regression,classification,GridSearchCV,f1,0.5654712399436104,"{'modelo__C': 1, 'modelo__class_weight': 'balanced'}"
Decision Tree Classifier,classification,GridSearchCV,f1,0.5659430015946476,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 5, 'modelo__min_samples_leaf': 1, 'modelo__min_samples_split': 2}"
Decision Tree Regressor,regression,RandomizedSearchCV,neg_root_mean_squared_error,-1.0011921848221934,"{'modelo__min_samples_split': 10, 'modelo__min_samples_leaf': 5, 'modelo__max_depth': 3, 'modelo__criterion': 'squared_error'}"
